"","Mov10_kd_2","Mov10_kd_3","Mov10_oe_1","Mov10_oe_2","Mov10_oe_3","Irrel_kd_1","Irrel_kd_2","Irrel_kd_3"
"ACBD4",307.425378644432,356.689349223042,534.363268269284,556.625613000283,433.881971399032,444.680604066031,429.317496250876,464.614901106809
"ACBD5",1420.4072992555,1375.49665209365,1310.4821493281,1283.90209611783,1395.16817658346,1523.85537665915,1564.46206260912,1554.51844433719
"ACBD6",1003.91607051107,1031.62248907023,1095.40301794983,1135.58772732481,1185.12637417474,1192.34999647365,1181.9225017851,1131.41092632638
"ACBD7",451.570888133315,489.112939952554,416.820022050924,424.393525160729,440.014578768629,597.066141731946,544.703070303775,523.528606146289
"ACCN2",628.882621044419,732.601477745529,1070.39381662677,1236.54871331042,1042.5432528316,680.833630273443,705.827070107372,731.065521626276
"ACCN3",56.7652670111088,81.1628459309915,75.0276039691663,112.575966674214,75.1244402775709,59.7066141731946,65.4891095975912,77.6589748247692
"ACCN4",40.1821552999984,37.3776264155882,10.837320573324,16.9757410064292,0,12.4760089317123,21.8297031991971,20.0842176270955
"ACCS",78.4508746333302,68.3476597313613,151.722488026536,125.977867468764,150.248880555142,108.719506404922,127.859690166726,132.55583633883
"ACD",358.450337755541,374.844196339185,381.807140198646,436.901965902308,315.829279534277,484.782061346535,452.186709126225,455.242266214164
"ACE",105.876790155551,109.99701488016,236.753772524925,226.045393401399,197.776587669523,132.780380773224,102.911457939072,99.0821402936711
"ACE2",25.5124795555545,22.4265758493529,30.8446816317684,32.1645619069184,26.0635813207899,30.2988788341585,20.7901935230448,22.7621133107082
"ACER2",75.8996266777747,69.4155919146638,106.705925645037,97.3871457737252,101.188021598361,65.0534751439285,75.8842063591136,74.9810791411565
"ACER3",808.745601911078,818.03605240973,824.470003616727,806.79442783187,903.02643517325,814.505154541789,869.030089263274,768.556061196854
"ACHE",77.8130626444413,73.6873206478739,158.391608379351,149.207828845983,131.851058446349,33.8634528146477,39.5013676937852,42.8463309378037
"ACIN1",8545.40502713299,7993.47239201936,6079.73684163478,5776.21924245076,5364.49829655552,6476.83092254893,6378.43137287015,6750.9750183877
"ACLY",15108.4903927994,15021.5340903332,12650.4876692455,12565.6221849695,11877.3273230682,14082.7406534178,13538.5740222068,14105.8155134301
"ACN9",703.506623744416,634.351716881697,671.913875546089,686.177320680926,699.117240134129,602.41300270268,609.152670225214,548.96861514061
"ACO1",795.989362133301,766.775307611209,773.617960926515,725.489563011604,769.642224884501,901.837217063775,937.637727889322,858.265566597881
"ACO2",2334.39187933324,2265.08416078464,1754.81229283439,1868.22497076018,1637.40616768256,2028.24259489837,2013.53024270689,1980.30385803162
"ACOT1",59.3165149666643,55.532473531731,50.8520426902127,57.1814433900772,50.5940107991804,60.5977576683169,39.5013676937852,46.8631744632228
"ACOT11",70.7971307666638,59.8042022649411,63.3566433517404,90.2394653499655,58.2597700111774,73.0737666000292,86.2793031206361,89.7095054010265
"ACOT13",1023.05043017774,978.225879905108,981.194331907875,1025.69214080951,1028.74488625,960.652687741848,934.519198860865,980.10982020226
"ACOT2",337.402542122209,328.923112457176,282.603974950526,321.645619069184,245.304294783905,291.403922904995,275.470064180344,310.635899299077
"ACOT7",1325.37331291106,1284.72241651293,1325.48767012194,1365.20696093809,1148.33072995715,1718.12465859581,1686.08469471894,1660.29532383989
"ACOT8",365.466269633319,357.757281406344,374.30437980173,428.860825425579,346.492316382266,398.341142319672,392.934657585547,369.549604338557
